Precio (dolares),Número de Habitaciones,Piso,Barrio
877477,4,14,39
979209,4,15,14
383984,2,18,36
681975,5,11,32
491434,2,3,30
585406,5,5,6
479442,1,6,23
777573,1,19,36
436483,4,13,47
655334,4,19,25
317935,5,8,49
807231,1,9,9
896221,4,2,15
353658,3,6,3
519131,2,12,26
810168,5,17,27
918181,2,4,15
554166,4,18,6
847095,3,17,32
909378,4,6,26
779512,5,4,32
945411,5,6,8
271146,1,14,49
272686,4,18,33
451354,2,4,11
552177,1,20,14
185731,4,14,13
616940,5,7,25
309471,1,11,10
200346,4,1,14
890452,2,6,32
667560,1,7,22
418685,1,7,19
62012,4,10,23
954700,4,6,40
456567,5,7,37
805522,2,3,50
266756,3,20,46
405415,3,19,33
303697,1,1,37
868125,2,5,40
328258,2,10,40
82506,2,19,27
410028,1,14,23
726441,1,4,20
800691,2,7,30
231547,1,12,22
159808,2,15,40
881663,5,17,1
248098,3,7,20
399471,5,3,15
739174,4,5,2
606051,5,4,28
617100,4,16,12
578737,4,4,47
125565,1,10,50
845338,3,7,48
779242,3,15,18
748808,4,15,37
713876,4,7,41
54935,4,19,50
544728,2,9,21
466697,4,14,31
665934,3,13,25
669522,5,9,28
627830,2,1,18
394239,5,7,43
469488,3,5,29
301051,5,13,12
687188,4,2,14
571238,4,5,35
989243,1,15,4
750582,5,19,13
167811,2,13,19
124729,2,15,39
878395,4,12,15
686920,3,14,45
899637,5,11,5
827002,2,18,46
393234,1,5,9
907565,1,5,25
422359,4,20,18
734405,1,6,10
725453,4,15,35
900415,3,14,35
548431,3,11,33
287215,1,14,23
929195,2,6,10
828494,4,19,5
720946,1,1,23
726521,5,18,23
866624,1,7,13
792871,5,17,45
427708,3,10,6
282193,5,12,50
759717,4,4,46
732379,3,3,40
354449,3,11,15
149327,5,18,15
827584,1,13,38
66261,1,18,14
390699,4,4,31
88065,3,15,21
64476,1,18,2
139108,3,12,46
934988,4,5,16
659110,2,16,3
817226,3,6,10
375831,3,19,2
530979,4,18,13
842975,4,10,7
47248,4,6,32
206698,4,16,30
724707,1,12,44
892352,4,19,45
405022,5,2,14
639137,3,15,37
207288,2,20,20
600593,4,2,8
333277,1,4,4
716954,3,8,10
768537,3,18,27
673164,1,1,24
957634,4,11,30
306233,1,3,28
766606,1,3,42
394127,3,17,28
256519,3,14,41
998335,4,2,24
730396,4,17,46
456840,1,11,14
566393,4,20,31
929332,5,16,46
31503,3,15,38
152673,3,10,7
995313,5,3,7
331750,5,10,11
808946,3,20,28
962916,4,7,28
76180,3,13,38
481284,4,17,27
729648,1,10,46
675007,5,12,49
25777,1,6,45
395078,5,13,5
934536,4,3,6
829034,3,6,43
829817,1,4,8
322154,5,2,39
63618,1,2,50
612603,2,6,13
198353,3,5,32
391010,2,11,35
756692,1,2,4
108120,1,17,5
115637,1,13,24
986205,2,7,22
253255,4,17,38
204169,4,15,41
919246,3,14,46
362513,4,3,19
573632,2,17,6
528035,5,6,14
221270,1,11,21
516243,5,12,36
555277,5,12,29
818179,1,11,2
540782,5,17,16
696488,2,3,30
859134,5,4,5
640507,3,15,4
45160,3,13,49
850875,3,20,16
176270,3,7,15
554859,3,16,6
526985,5,19,7
146115,5,1,40
442440,4,12,40
26595,1,20,32
468270,1,20,19
385222,1,2,25
234976,2,9,4
487171,2,12,48
898444,5,10,47
540820,5,12,13
41892,1,13,47
856943,4,2,17
831260,3,20,37
671055,3,13,25
686827,5,12,42
960078,3,18,5
976202,2,12,11
257360,1,11,1
520523,2,20,46
866569,4,20,13
822251,2,14,22
667929,4,3,32
468469,4,20,20
78597,3,7,43
984063,3,3,34
909728,1,17,10
518009,1,16,48
277411,5,14,27
879309,2,11,43
195261,1,12,46
402397,3,7,12
271309,5,15,3
490284,1,12,20
23693,2,5,29
265073,3,5,3
98778,3,13,11
67144,1,18,21
581860,3,6,31
940282,4,19,25
535044,5,3,35
569071,3,16,40
854826,4,14,41
567473,5,6,30
52806,2,19,26
22561,3,19,38
781929,4,12,38
919127,2,12,12
928086,3,11,20
177094,2,5,28
804337,4,1,39
473533,3,18,32
739786,5,20,43
936450,3,9,21
693327,5,10,14
686207,1,6,32
545938,3,15,4
484781,5,18,9
586376,1,3,19
810199,3,17,22
466383,4,2,49
530892,1,15,5
843991,4,20,9
253051,2,18,45
812738,5,6,16
910187,3,12,5
559106,4,3,9
265100,3,8,49
724122,5,4,38
267771,2,4,20
171224,1,18,7
622728,2,4,18
408611,2,16,17
691595,3,6,6
650863,5,7,27
43554,4,6,20
572668,2,13,22
352151,3,18,41
214743,3,17,19
522747,4,10,2
520817,3,2,21
164450,4,16,25
449697,1,3,45
419125,1,18,44
600931,3,16,8
494130,3,17,10
52060,1,9,20
241172,4,9,28
957202,2,11,21
502559,1,19,36
377786,4,15,41
207099,5,6,3
467786,5,16,43
324648,4,17,2
170418,3,17,7
151961,5,10,37
110647,3,11,22
447514,3,12,27
24296,3,16,7
717436,2,9,24
220941,4,5,49
464476,1,14,32
923960,5,11,5
322809,4,17,28
605262,5,2,14
150140,5,5,3
415584,1,4,46
540155,2,15,20
280447,1,4,46
359435,5,6,19
85947,3,14,10
977808,5,12,18
362458,3,11,21
208977,1,11,3
242106,3,19,43
727465,2,3,9
939291,1,13,13
78240,1,14,19
790404,4,2,24
543948,4,20,40
893068,5,5,23
498742,3,18,46
302276,3,3,1
615814,1,4,5
201980,2,3,25
436879,2,2,12
808337,1,7,33
917651,1,12,10
162035,3,5,26
987586,2,18,12
631209,1,9,17
443742,4,5,20
230353,5,7,23
725468,2,19,43
552653,4,18,14
78582,4,12,32
691205,1,5,27
154761,1,5,40
983517,5,14,43
518876,2,14,13
915914,2,10,38
409386,2,19,17
518903,3,15,24
582722,5,19,20
712017,3,3,32
619010,1,9,49
176803,3,19,19
984428,1,11,42
110816,3,7,43
747913,1,10,3
910031,5,7,46
247714,5,15,4
371043,1,15,46
925325,5,5,19
311465,2,16,17
671452,1,10,2
386249,2,17,44
382281,2,5,49
531359,4,3,23
743031,3,7,41
443261,4,20,19
455239,5,8,25
925508,1,3,39
56589,1,13,18
113823,2,15,19
144806,3,17,38
776886,3,9,4
200812,5,9,20
997118,1,2,8
404425,1,19,20
702460,3,5,44
962671,1,15,28
560661,3,1,38
379962,2,1,34
704752,1,10,15
619735,2,1,50
365104,4,7,16
490906,4,17,3
440776,1,20,38
920783,5,16,17
47177,3,15,44
903769,2,5,26
173506,1,5,38
81117,5,1,43
720237,1,8,47
925440,1,15,19
729768,3,3,40
189399,4,17,16
530430,1,6,49
867194,3,7,30
464992,2,7,30
967670,3,7,10
224142,1,17,44
323011,3,20,39
213023,5,15,37
536696,4,1,36
845448,1,7,26
443031,1,8,31
198382,1,1,7
389166,1,18,38
21943,1,18,39
709387,2,8,31
112949,1,15,14
524513,3,15,4
29039,1,11,49
275719,1,7,45
369110,2,14,39
760173,2,5,24
448843,1,7,17
504062,3,2,43
178548,4,1,15
529224,4,2,12
596430,4,12,23
722408,2,20,17
548952,3,14,48
803304,4,10,21
489910,4,20,33
559320,5,5,25
284979,2,14,4
141455,5,16,3
244158,2,11,47
615214,4,15,15
977683,1,7,48
707184,3,2,40
849334,2,20,40
28405,4,11,6
665444,4,5,43
466863,4,2,19
400454,1,19,24
238512,4,15,47
720478,4,10,34
282095,1,7,29
32486,2,10,9
747398,1,17,17
817790,5,19,48
491346,4,20,15
780643,2,7,39
960269,5,19,26
457336,2,12,4
327995,1,10,14
484460,3,5,46
313577,2,17,30
151442,3,18,18
859124,2,1,48
510321,5,7,14
770310,1,9,48
423073,5,20,8
546049,2,16,25
449045,4,4,42
428243,5,17,27
624195,3,7,37
752899,4,18,1
43117,1,8,39
163169,3,5,29
740290,3,11,8
106119,1,2,1
251268,2,18,38
370728,3,16,4
570346,1,11,32
884767,1,18,42
868486,4,3,21
985281,2,17,35
554486,2,18,23
84942,5,15,30
334973,2,2,10
378034,4,12,18
601554,4,20,40
858647,1,20,50
447224,4,8,5
241680,3,5,43
548634,4,5,18
810618,4,20,8
643459,3,8,47
294404,2,9,4
136189,3,3,40
999394,1,3,1
329857,1,20,6
339434,5,11,14
756739,5,3,1
919553,1,6,19
870321,5,20,12
847022,2,6,19
719278,4,2,12
135478,2,7,32
890127,1,4,8
225714,2,11,45
546983,2,11,4
27701,2,8,45
954122,4,14,6
131029,1,16,25
376106,1,10,32
630949,1,2,50
983935,3,2,24
924734,5,1,3
795243,4,20,17
982050,5,8,26
950786,5,4,6
618533,5,4,18
298767,4,4,8
548951,3,2,39
913775,5,6,23
902434,3,18,31
953637,4,12,23
454600,5,5,4
252616,3,16,14
653500,3,12,42
559770,5,1,23
67742,5,11,30
665531,2,3,4
454336,2,11,48
895379,5,18,4
336239,2,11,14
216839,3,13,14
870031,1,19,28
968393,2,15,44
980090,1,2,24
767528,4,8,44
192523,2,4,27
735115,3,10,23
826776,4,10,3
858928,5,9,9
731611,4,10,4
477993,5,15,24
465477,2,14,41
273920,5,5,50
115991,3,2,39
817847,5,15,5
437462,2,12,15
424961,5,6,18
870036,2,16,45
309632,3,11,33
703393,5,6,9
375699,5,3,14
227421,3,11,40
142117,5,16,42
990582,5,2,16
754142,3,13,8
242912,5,1,6
468652,3,8,1
155940,3,11,33
178241,5,16,27
413606,5,17,3
22780,5,10,6
541939,3,1,6
66603,1,16,43
853474,3,7,15
286667,5,8,26
557861,4,15,18
442568,4,5,42
158899,2,16,24
609651,1,2,29
400738,3,9,35
609148,4,8,8
124388,4,3,44
721710,1,2,35
624178,2,16,36
154873,1,8,11
783627,4,12,18
915018,4,18,23
476560,1,19,19
57189,3,20,23
108190,4,7,5
735972,2,11,19
565669,2,7,21
612596,5,6,6
552015,1,14,50
564022,2,4,12
261576,4,13,40
468485,2,3,24
786625,4,13,3
257260,4,9,37
213993,3,12,22
550129,1,15,20
515636,4,6,18
450190,5,3,18
84948,3,20,13
72151,4,8,24
292458,2,4,27
449021,2,1,18
695229,3,9,1
26189,2,17,37
194425,1,4,24
771453,5,5,35
103948,3,18,2
774958,5,20,39
261034,3,20,3
370435,1,20,41
526448,2,11,26
71239,2,3,48
462413,4,1,40
359465,2,10,3
484962,5,10,41
520299,3,16,30
261609,3,5,14
995843,3,13,21
858429,2,13,40
489214,2,8,19
342954,2,6,30
266075,1,18,3
318244,1,9,15
328516,5,12,35
162335,4,17,4
450147,5,2,3
764697,5,9,2
682641,4,4,30
119609,5,3,3
633089,2,20,40
227999,1,2,18
717600,5,10,20
321457,4,20,39
169168,2,9,36
834910,1,3,6
902939,4,18,43
718952,4,8,32
223271,4,18,16
114622,5,8,38
902030,4,3,25
155699,3,19,18
780417,5,20,22
708852,2,11,2
581820,5,19,14
183406,2,17,45
759158,5,15,50
418760,4,14,40
254085,5,6,32
828870,4,14,32
944135,4,17,28
894210,2,2,3
181455,3,8,25
727824,3,17,22
695923,2,15,9
184921,3,11,47
99663,4,10,38
902807,4,15,11
501601,4,1,49
555572,3,11,45
244133,1,4,37
359294,4,9,10
844039,1,8,8
643349,5,16,26
974333,2,6,10
556806,4,9,13
328011,4,1,28
361691,1,14,50
795242,1,1,14
49676,5,20,17
42401,3,13,5
701938,4,5,45
937671,5,9,49
710209,3,8,41
117564,1,1,19
832093,3,7,16
806104,5,2,7
672699,2,15,17
512582,2,19,47
724390,1,18,1
593088,3,15,20
407353,2,8,22
690436,3,17,28
817055,5,13,48
326209,5,6,13
963253,4,9,21
701007,3,8,3
405107,1,18,1
97050,3,2,2
138427,2,18,28
767872,3,17,27
95007,2,15,50
514860,5,10,17
676809,2,6,23
364425,1,11,24
152000,3,15,9
700464,1,3,18
356266,1,3,10
618338,3,10,10
692504,2,3,31
723222,3,16,4
179319,4,11,35
770001,5,9,19
787563,2,19,5
591097,1,10,46
700189,4,17,45
671191,1,14,17
973431,1,20,13
527094,2,12,7
307662,1,9,24
254237,2,6,36
586594,3,3,10
853666,3,20,46
701887,4,2,19
164168,2,20,19
305275,5,17,8
923267,2,6,18
835691,3,6,16
231669,1,14,6
622551,2,13,19
451118,1,1,15
44829,5,8,34
211134,1,10,27
294427,1,4,50
987358,1,10,43
740557,2,17,27
611094,4,3,12
424055,2,4,10
969119,2,7,2
97104,3,14,46
340373,1,9,8
424831,5,11,33
546210,4,14,20
799095,3,18,48
475639,3,7,41
623837,1,5,37
431996,2,18,24
332060,1,17,21
115944,2,3,6
755185,3,1,47
349428,4,3,5
785102,1,10,31
34500,5,1,22
787111,3,1,12
62105,3,8,35
350625,4,5,46
467896,4,4,22
966414,1,17,18
555778,2,1,48
679270,5,15,47
383526,3,2,21
728868,5,3,32
743565,1,16,17
230258,5,11,11
216479,3,9,7
657174,5,9,20
671372,5,16,16
56563,5,1,9
259322,4,17,45
682854,1,12,14
328438,3,13,7
510399,2,4,10
661879,3,7,49
335476,3,3,5
690503,3,6,14
478301,3,7,44
565120,4,16,25
145342,3,19,5
551749,2,7,11
856390,3,3,45
425577,2,19,11
211302,4,2,1
997578,1,19,3
331701,1,12,29
588248,1,16,20
297806,3,6,35
602656,5,15,33
264292,5,16,45
172274,5,18,16
891750,5,10,15
901229,2,3,16
93561,4,13,13
60380,5,2,40
366895,4,16,46
875445,2,19,6
68871,5,13,30
622281,5,15,47
813769,2,8,48
97384,5,8,18
311469,2,7,21
265889,1,6,40
302181,3,11,45
156127,3,17,45
170041,5,13,22
731048,5,17,16
490997,5,3,26
209010,4,5,13
907067,3,19,48
719348,3,14,47
626516,3,5,29
786755,1,3,27
166600,2,15,33
912119,1,10,14
382836,5,4,13
825470,5,4,23
244451,1,8,24
181442,4,11,5
539920,3,5,2
102262,5,19,28
982269,3,4,43
766430,3,3,5
756317,5,1,3
356649,2,20,1
617996,4,12,38
617635,1,9,28
582226,4,10,13
862385,1,3,37
525348,1,10,25
840720,5,9,49
551233,2,7,18
20900,2,19,45
530077,2,1,31
591162,5,14,3
979917,1,5,11
366931,1,18,35
311072,1,10,48
402180,4,2,26
827929,3,5,49
427077,1,14,44
516514,4,15,27
228854,3,15,17
870685,5,7,21
461762,1,18,42
605674,2,19,39
792799,3,9,32
269459,4,11,26
293165,3,14,18
589696,2,10,21
108070,5,10,9
453667,2,12,18
251604,4,11,50
287479,4,6,8
243772,4,7,20
466530,3,19,44
226221,3,4,33
892596,2,12,39
935133,2,17,23
610250,3,8,30
130769,1,17,42
532867,5,16,31
625733,2,2,44
675433,2,19,35
168119,1,9,17
664280,3,18,18
140401,1,8,27
813018,4,14,49
452600,3,15,24
419588,4,7,50
429243,3,11,40
214048,5,2,16
573175,2,6,30
397663,1,2,41
338908,1,14,18
455620,4,6,31
814619,1,7,16
715046,3,5,33
226229,5,2,5
204641,2,12,20
594021,2,19,47
940280,4,19,3
688568,3,11,15
626833,2,8,44
156346,5,20,12
932359,4,11,31
379896,2,3,16
70245,3,6,48
712360,2,5,31
109577,1,15,43
662394,3,20,38
640937,5,6,24
36371,4,17,26
725045,1,4,42
67720,3,9,49
927520,1,17,33
208121,1,17,40
949540,1,9,40
216997,1,13,12
185860,4,3,11
854673,3,20,39
833972,1,20,7
343292,2,15,36
235300,2,3,7
834109,5,7,37
423794,1,1,10
981760,1,3,41
90810,3,7,45
349270,3,13,45
728086,3,6,33
824776,1,9,46
233429,2,12,41
274778,3,10,21
882855,2,18,16
203938,5,16,10
707821,2,20,34
189690,4,6,1
413822,4,6,35
124668,2,1,17
632892,1,9,48
306766,5,16,35
609071,4,14,38
890276,2,12,49
807383,1,5,12
901435,4,7,46
882913,5,20,48
904448,1,13,33
234833,3,10,18
975977,1,12,25
945437,5,18,7
771759,2,1,30
908974,1,15,25
682867,2,13,16
449743,3,20,32
294236,1,19,12
368108,2,20,28
181021,4,12,8
466912,4,8,49
449011,1,5,50
373334,2,1,50
627132,5,5,18
649690,1,5,20
598101,3,9,50
553818,3,6,2
795361,3,11,9
900820,5,3,30
201962,2,15,24
606387,3,16,36
393048,5,1,38
638345,1,7,25
328591,5,17,42
223192,1,11,33
947683,4,6,36
408697,2,17,4
422336,2,17,5
834046,2,10,38
491833,4,20,18
620295,2,3,16
733514,2,15,29
756426,1,4,15
856722,3,9,15
572162,5,20,10
153286,4,20,47
548430,1,16,36
308419,2,3,18
943404,4,15,17
26570,2,19,39
527035,1,20,20
261338,2,18,17
743905,4,9,49
212230,1,6,41
948729,2,16,29
724163,3,18,24
119059,4,10,16
168856,2,18,1
968689,2,9,16
505027,4,19,25
100807,2,1,25
448054,4,11,35
267615,4,11,34
211232,2,3,22
592369,3,16,21
771800,2,16,4
119300,4,16,41
57364,2,15,24
839261,4,4,9
632412,5,7,47
464820,4,12,29
760654,5,11,35
947475,4,17,33
589102,1,17,43
274085,3,3,19
508634,3,5,16
49437,4,13,32
499557,2,20,1
233878,4,4,26
198232,5,20,20
845334,2,15,6
508814,5,17,7
714898,5,17,31
469357,2,3,42
481279,5,16,22
292628,5,19,40
436376,3,17,40
757299,2,10,33
969144,2,18,34
956478,1,16,21
226246,4,7,12
201923,2,16,22
441945,3,18,4
107230,2,8,12
493101,4,16,23
846158,2,5,34
382211,4,19,19
37991,2,17,18
847753,3,7,19
634701,5,14,47
109406,5,8,11
102056,3,16,42
721810,2,20,33
854535,5,4,27
626143,2,1,47
226360,4,13,37
673107,5,14,21
568038,4,13,19
786280,4,12,29
150867,1,19,16
189815,1,19,22
545253,3,8,41
467275,2,11,4
553304,5,8,36
332546,1,6,1
332951,3,18,5
32242,5,19,16
181971,2,5,9
325126,3,16,46
257428,4,16,4
269911,1,9,14
967964,3,9,50
74731,5,2,12
452230,5,18,11
884245,1,6,16
549706,2,15,3
765601,2,10,50
184941,4,3,41
367119,3,16,48
592881,1,16,47
260540,3,4,34
268670,4,13,9
678745,1,18,39
591035,2,16,25
438874,2,17,25
744992,4,19,30
465086,4,16,13
417684,4,11,13
955695,5,19,7
844270,1,1,24
346363,4,19,23
557296,5,9,19
970702,1,18,4
669501,4,7,6
867773,1,6,28
620690,5,14,38
169963,2,20,25
349574,5,20,45
838094,4,8,7
132705,3,7,5
618966,3,7,21
251505,4,15,40
884776,4,5,24
621406,3,4,25
453930,5,14,10
311811,3,19,13
850858,1,9,46
963489,1,3,5
67865,3,5,16
439888,5,10,30
854439,2,3,11
330160,5,5,1
411248,3,18,34
68064,1,9,50
378670,5,5,6
54034,4,14,43
621869,5,9,42
27507,1,7,22
992527,3,3,35
314989,5,9,37
572709,1,14,47
981354,5,19,2
832999,5,7,44
941990,5,3,49
704377,5,3,34
844415,4,6,28
322239,2,17,20
106162,3,17,1
118813,2,18,34
339230,3,5,8
716488,3,16,36
474345,3,8,19
369235,4,2,23
909651,1,12,3
575517,2,15,26
58018,5,11,12
977161,5,2,31
666240,1,5,6
205077,5,4,2
150950,3,5,35
969023,5,11,13
359131,4,4,35
550067,1,15,31
575330,1,16,34
789178,2,7,44
348014,3,11,26
625292,3,10,42
382012,5,19,15
433496,1,19,15
711013,3,12,14
772880,4,16,31
952796,2,7,41
945952,2,16,3
479788,2,12,13
582774,3,17,25
608011,2,2,22
577027,5,17,23
258167,5,14,38
443948,3,12,27
244741,1,5,31
658464,1,15,7
722196,1,1,42
189095,5,1,31
755495,5,15,43
63055,1,19,28
76043,5,8,24
709846,3,8,26
788354,1,13,50
720262,1,17,1
307081,2,16,15
612145,4,2,24
937116,5,2,49
464450,1,20,44
469420,4,18,3
561009,4,13,28
421036,5,20,44
575534,1,15,21
546588,4,3,12
704836,3,15,22
845384,3,16,4
975177,2,5,25
653895,3,10,43
747342,1,4,13
472834,3,18,24
769742,4,2,6
62684,4,13,28
571872,5,7,24
435182,4,16,30
193328,3,19,15
262701,1,6,50
877814,1,13,14
972425,5,18,31
492350,5,4,18
568546,3,14,49
82328,4,1,47
802644,1,19,48
949350,5,8,15
295129,5,12,45
845649,3,19,46
889913,1,10,32
917848,2,5,25
270788,4,9,22
257133,3,1,26
576373,5,13,28
689856,1,20,43
463412,3,9,37
156855,3,3,30
572287,1,9,28
388123,4,13,18
237417,4,7,12
299846,1,9,26
552746,1,8,47
847307,4,6,14
351355,4,20,3
756564,1,8,34
420885,2,17,34
649496,4,18,39
433712,3,17,49
473948,5,13,14
54683,3,6,39
781327,4,11,29
618942,5,2,25
340240,1,7,7
986089,4,11,49
56515,4,12,40
884869,5,19,15
970186,3,15,30
502522,4,18,3
265181,4,9,41
373937,4,10,31
624281,2,14,13
394035,2,1,16
35581,2,4,49
274971,1,20,34
147489,1,5,9
325364,1,12,5
358250,5,16,34
438175,1,6,33
880154,2,14,7
820847,3,20,48
380464,3,7,16
312260,5,17,27
775082,2,4,38
127862,4,2,1
312770,4,3,10
818190,5,6,12
405693,3,18,14
106802,3,13,15
834436,5,17,12
382291,2,16,19
163733,4,20,26
911209,1,20,6
182142,3,12,46
392833,1,17,11
817325,5,6,6
256660,1,10,1
338538,3,12,43
197471,2,19,21
691677,4,17,24
256422,3,20,49
540782,1,9,15
258605,4,3,41
701391,3,18,33
984141,4,6,12
680705,1,5,1
410238,3,10,34
218563,1,2,21
649429,1,19,17
826215,4,5,10
609912,3,2,6
307978,3,14,33
875725,5,18,18
949416,5,13,40
326021,3,12,35
730124,2,17,19
194530,3,9,32
516756,5,16,7
598885,2,11,12
262533,4,7,42
767825,1,4,40
27365,3,6,26
693973,2,3,1
479118,5,4,5
942580,1,11,48
456304,4,11,18
113132,5,19,28
420477,2,18,43
981638,1,8,13
705593,4,14,9
169885,4,1,11
473602,1,13,36
659255,4,16,11
364693,4,2,40
783525,3,9,38
704673,3,8,29
93076,5,3,50
668381,1,10,43
575390,4,13,33
811969,3,15,1
758805,1,14,46
395064,3,13,1
635870,2,20,23
21421,2,14,21
597779,1,10,5
969901,5,2,28
99127,5,13,44
580860,4,6,8
497335,3,17,30
865742,3,17,33
631091,2,15,23
760714,4,1,38
898044,2,20,40
584072,2,8,39
179406,2,5,38
368736,4,19,26
830428,3,19,17
981864,1,9,43
769094,2,3,30
477466,4,11,30
191617,1,8,27
965227,5,1,19
843103,4,7,38
509937,4,1,4
871032,5,4,17
971340,1,1,22
784211,2,9,34
290277,2,1,19
98035,1,7,1
324736,3,13,16
644569,4,2,4
933009,2,11,11
255685,2,7,50
340037,5,16,24
398470,3,15,12
453112,4,15,14
896516,1,17,24
494676,1,12,48
834787,1,7,5
169269,5,5,42
201860,5,2,36
495575,2,8,28
33300,1,19,32
275116,3,4,2
864359,3,2,26
43582,2,16,30
44939,3,6,9
122631,1,10,9
446588,4,15,25
553419,5,9,7
233781,5,11,29
50647,4,12,48
327721,3,12,38
427561,5,13,29
316704,1,5,20
805113,1,7,9
48570,5,11,19
633402,4,13,11
585718,5,8,44
530726,2,16,45
591503,4,13,25
87870,1,13,3
992035,4,13,15
811548,1,1,35
931424,3,9,38
801879,1,16,7
619953,4,16,33
431145,5,14,18
76378,1,1,18
599224,2,13,3
197938,3,2,32
778919,3,5,25
260863,1,11,48
254184,2,10,45
760919,4,16,11
903950,5,9,22
881935,1,17,11
280613,4,7,25
154029,3,20,44
412029,1,12,8
53510,3,3,22
63577,3,6,33
958145,1,1,15
289790,5,6,3
393836,5,19,6
988186,1,6,9
663383,2,17,29
251859,3,2,29
296807,5,14,45
553449,5,5,45
424371,5,15,33
365669,1,9,25
558910,3,10,44
750401,2,13,35
651630,2,12,33
584618,2,5,31
632721,5,10,14
162518,4,19,50
704986,1,7,40
360478,2,14,24
870536,5,12,10
915253,3,1,33
300660,5,2,47
129412,3,19,26
472392,2,13,45
443597,3,11,28
616711,5,15,13
179198,3,9,19
569508,3,3,15
172145,1,16,30
446291,5,10,17
111499,5,20,21
710554,2,7,4
219415,4,19,36
820663,1,18,49
516176,4,15,33
402631,2,3,4
109836,2,16,18
374927,3,12,24
752576,1,10,18
667401,1,14,45
127248,4,18,33
234350,3,1,39
682708,1,5,47
566831,1,7,5
276121,1,10,2
499405,5,7,48
299054,4,16,19
283403,2,19,20
808164,2,10,13
408345,5,20,36
133633,1,8,2
691417,1,20,27
774892,4,8,37
459753,5,11,34
640644,1,19,31
51256,2,19,48
959596,1,11,10
775211,4,7,33
712924,1,12,32
699873,3,5,37
546875,5,7,46
889354,4,8,50
711380,2,11,49
993137,1,3,20
641964,2,3,20
624512,2,19,13
569493,5,6,5
981918,2,10,9
530681,5,10,27
503597,4,12,10
923857,5,17,24
425265,2,15,45
350943,5,5,44
963033,3,8,26
238761,1,6,6
943320,5,4,6
340648,5,4,17
179468,4,3,9
30541,4,11,17
510051,2,18,18
193803,1,16,34
173620,2,11,5
298939,1,1,46
717520,2,17,43
39581,3,12,15
753332,4,16,48
672139,2,6,39
376667,4,7,23
44022,1,17,35
226702,2,11,24
613588,3,3,19
874581,2,7,28
796476,4,5,18
251618,3,15,22
547557,4,4,44
591239,1,20,44
187159,4,16,31
729421,4,19,32
628105,3,13,27
897583,1,7,7
92792,2,7,4
517810,1,15,47
548401,3,18,8
685263,4,1,10
560955,2,16,32
526901,3,11,16
875588,4,19,34
246316,2,15,28
650219,5,2,50
987089,4,16,30
346629,1,20,46
939228,4,17,3
421549,3,18,24
779617,3,20,40
223705,1,6,37
173727,4,19,18
746439,2,9,11
185617,3,12,31
196310,2,9,3
727705,2,16,15
481878,3,5,40
86592,2,13,4
609458,4,10,28
855268,4,7,39
53522,4,1,37
229803,3,4,29
646529,3,3,34
255989,1,20,20
416983,5,13,8
560559,4,16,28
204588,3,3,49
487599,5,18,17
412185,2,10,6
30129,3,15,34
395995,5,20,32
865897,3,11,7
241357,1,8,17
909029,2,7,13
282105,2,8,37
244008,3,2,8
267367,5,19,32
580837,5,17,31
571563,3,3,30
629959,5,3,27
269598,4,12,6
826987,2,18,39
771189,2,14,39
471500,3,9,34
979273,2,18,17
342430,2,17,16
750106,4,7,17
